sup_bucket,mins,corners,sup_mean,cpm,game_state,side
29,5505.0,259,1.662155172413793,0.047048138056312444,Winning,Away
0,6255.0,241,-2.52,0.03852917665867306,Losing,Away
1,6266.0,253,-1.9060169491525423,0.04037663581232046,Losing,Away
2,5436.0,224,-1.5414655172413794,0.041206769683590876,Losing,Away
3,5078.0,219,-1.3285087719298245,0.04312721543914927,Losing,Away
4,5166.0,244,-1.1773504273504274,0.047231900890437474,Losing,Away
5,4533.0,214,-1.035658914728682,0.0472093536289433,Losing,Away
6,4737.0,225,-0.9403703703703704,0.04749841671944269,Losing,Away
7,3266.0,183,-0.8668571428571428,0.05603184323331292,Losing,Away
8,4451.0,182,-0.7786206896551725,0.04088968771062682,Losing,Away
9,4550.0,220,-0.6951111111111111,0.04835164835164835,Losing,Away
10,3806.0,175,-0.6252380952380953,0.045980031529164474,Losing,Away
11,3729.0,190,-0.5468141592920354,0.05095199785465272,Losing,Away
12,3580.0,180,-0.46956896551724137,0.05027932960893855,Losing,Away
13,4011.0,199,-0.41524475524475524,0.04961356270256794,Losing,Away
14,2907.0,159,-0.3661,0.054695562435500514,Losing,Away
15,3475.0,176,-0.3027731092436975,0.05064748201438849,Losing,Away
16,2993.0,164,-0.23650485436893204,0.0547945205479452,Losing,Away
17,2675.0,154,-0.1801869158878505,0.05757009345794393,Losing,Away
18,2543.0,132,-0.14517241379310344,0.05190719622493118,Losing,Away
19,2996.0,167,-0.10188034188034188,0.05574098798397864,Losing,Away
20,3016.0,163,-0.03427350427350427,0.054045092838196286,Losing,Away
21,2274.0,146,0.04773913043478261,0.06420404573438875,Losing,Away
22,2486.0,156,0.10262711864406779,0.06275140788415125,Losing,Away
23,2140.0,134,0.15517241379310345,0.06261682242990654,Losing,Away
24,2100.0,146,0.26139344262295083,0.06952380952380953,Losing,Away
25,1663.0,97,0.3482758620689655,0.05832832230907998,Losing,Away
26,1723.0,118,0.5105555555555555,0.06848520023215322,Losing,Away
27,2067.0,144,0.7250862068965517,0.06966618287373004,Losing,Away
28,1695.0,125,0.9951327433628319,0.07374631268436578,Losing,Away
29,1331.0,117,1.662155172413793,0.0879038317054846,Losing,Away
