rule,n_bets,bet_pct,total_pnl,roi,threshold,rule_family
diff_sup >= 1.45,136,0.013923013923013924,16.389,0.12050735294117647,1.45,diff_sup
diff_sup >= 1.5,111,0.011363636363636364,8.960999999999999,0.08072972972972972,1.5,diff_sup
diff_sup >= 1.55,95,0.009725634725634726,8.831,0.0929578947368421,1.55,diff_sup
diff_sup >= 1.6,80,0.00819000819000819,8.82,0.11025,1.6,diff_sup
diff_sup >= 1.65,65,0.006654381654381655,13.376999999999999,0.20579999999999998,1.65,diff_sup
diff_sup >= 1.7,50,0.005118755118755119,9.529,0.19058,1.7,diff_sup
diff_sup >= 1.75,42,0.0042997542997543,10.909,0.25973809523809527,1.75,diff_sup
diff_sup >= 1.8,36,0.0036855036855036856,9.177999999999999,0.2549444444444444,1.8,diff_sup
diff_sup >= 1.85,32,0.003276003276003276,9.439,0.29496875,1.85,diff_sup
diff_sup >= 1.9,29,0.0029688779688779687,7.67,0.26448275862068965,1.9,diff_sup
diff_sup >= 1.95,20,0.0020475020475020475,9.166,0.45830000000000004,1.95,diff_sup
EV >= -0.05,9546,0.9772727272727273,-153.10700000000008,-0.016038864445841197,-0.05,EV (Poisson/Skellam)
EV >= -0.04,9094,0.930999180999181,-134.64600000000007,-0.014806025951176608,-0.04,EV (Poisson/Skellam)
EV >= -0.03,8442,0.8642506142506142,-96.40800000000006,-0.011420042643923248,-0.03,EV (Poisson/Skellam)
EV >= -0.02,7830,0.8015970515970516,-63.39800000000005,-0.008096807151979572,-0.02,EV (Poisson/Skellam)
EV >= -0.01,7250,0.7422194922194922,-50.724000000000046,-0.006996413793103454,-0.01,EV (Poisson/Skellam)
EV >= 0.0,6682,0.6840704340704341,14.785999999999968,0.002212810535767729,0.0,EV (Poisson/Skellam)
EV >= 0.01,6123,0.6268427518427518,85.34099999999994,0.013937775600195972,0.01,EV (Poisson/Skellam)
EV >= 0.02,5614,0.5747338247338247,106.00199999999995,0.01888172426077662,0.02,EV (Poisson/Skellam)
EV >= 0.03,5075,0.5195536445536445,102.06599999999995,0.020111527093596048,0.03,EV (Poisson/Skellam)
EV >= 0.04,4574,0.46826371826371826,87.25799999999995,0.019076956711849575,0.04,EV (Poisson/Skellam)
EV >= 0.05,4143,0.42414004914004916,93.98299999999996,0.022684769490707208,0.05,EV (Poisson/Skellam)
EV >= 0.06,3715,0.38032350532350534,123.36999999999998,0.0332086137281292,0.06,EV (Poisson/Skellam)
EV >= 0.07,3340,0.34193284193284196,131.74199999999996,0.03944371257485029,0.07,EV (Poisson/Skellam)
EV >= 0.08,3010,0.30814905814905813,145.48299999999998,0.04833322259136212,0.08,EV (Poisson/Skellam)
EV >= 0.09,2669,0.27323914823914824,116.341,0.043589733982765076,0.09,EV (Poisson/Skellam)
EV >= 0.1,2368,0.24242424242424243,111.74699999999999,0.04719045608108108,0.1,EV (Poisson/Skellam)
EV >= 0.11,2089,0.21386158886158887,119.27799999999998,0.05709813307802775,0.11,EV (Poisson/Skellam)
EV >= 0.12,1814,0.1857084357084357,130.13299999999998,0.07173814773980153,0.12,EV (Poisson/Skellam)
EV >= 0.13,1561,0.15980753480753482,110.30899999999998,0.07066559897501601,0.13,EV (Poisson/Skellam)
